gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	267.8151	0.0002649633	0.010190982	0.6498335	0.9984822
ENSMUSG00000000028	9.293071	-0.000796051	0.02732858	0.2414682	0.9984822
ENSMUSG00000000031	0.1428347	-0.001584984	0.113857489	0.5301657	NA
ENSMUSG00000000037	14.61473	0.0004418256	0.018106472	0.4282617	0.9984822
ENSMUSG00000000049	0.4140432	0.0002737198	0.092000641	0.9000108	NA
ENSMUSG00000000056	362.5131	8.931419e-05	0.009234566	0.873971	0.9984822
ENSMUSG00000000058	93.70221	-0.001187926	0.019693398	0.1402566	0.9805731
ENSMUSG00000000078	188.1649	-0.0003911254	0.013125995	0.5172424	0.9984822
ENSMUSG00000000085	414.9508	-0.0004631352	0.012984588	0.4568356	0.9984822
ENSMUSG00000000088	414.5441	-0.0008184633	0.013896518	0.2552257	0.9984822
ENSMUSG00000000093	8.240932	-0.0003756531	0.023059812	0.5151898	0.9984822
ENSMUSG00000000094	5.8764	-0.002820779	0.081846267	0.1219888	0.9805731
ENSMUSG00000000120	31.83465	0.0008191357	0.025468125	0.2211881	0.9930713
ENSMUSG00000000125	20.44419	-0.0003885833	0.015890416	0.4898228	0.9984822
ENSMUSG00000000126	4.504459	-0.0002504224	0.027830519	0.7079004	0.9984822
ENSMUSG00000000127	241.9354	-0.0002292077	0.010455405	0.692948	0.9984822
ENSMUSG00000000131	770.8857	-9.565245e-05	0.008718447	0.8650739	0.9984822
ENSMUSG00000000134	173.6207	0.0005774948	0.012467559	0.3756468	0.9984822
ENSMUSG00000000142	172.6198	1.320237e-05	0.009950379	0.9813389	0.9994695
ENSMUSG00000000148	159.3506	-0.001300441	0.017859019	0.1355072	0.9805731
ENSMUSG00000000149	707.6252	0.0001376307	0.009559619	0.8083402	0.9984822
ENSMUSG00000000154	2.778243	-0.0007585842	0.037440484	0.3660082	0.9984822
ENSMUSG00000000159	2.111994	-0.001044588	0.051173847	0.3610793	0.9984822
ENSMUSG00000000167	11.88469	9.445713e-05	0.017082902	0.8509902	0.9984822
ENSMUSG00000000168	589.7291	-9.604453e-05	0.008575009	0.8646606	0.9984822
ENSMUSG00000000171	375.0576	-0.0002716341	0.009920133	0.6413705	0.9984822
ENSMUSG00000000182	2.184226	-0.000564955	0.03963359	0.5381719	0.9984822
ENSMUSG00000000184	286.1731	0.0002957578	0.013450282	0.6094464	0.9984822
ENSMUSG00000000194	334.2538	-0.0001856536	0.008838272	0.7447196	0.9984822
ENSMUSG00000000197	1507.643	0.0008124614	0.010202514	0.2497371	0.9984822
