gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	267.8151	-0.008202752	0.06934096	0.7899242	1
ENSMUSG00000000028	9.293071	-0.007486929	0.07805906	0.4544794	1
ENSMUSG00000000031	0.1428347	-0.0001837149	0.08229332	0.9064314	1
ENSMUSG00000000037	14.61473	0.01006812	0.07735847	0.4649406	1
ENSMUSG00000000049	0.4140432	4.412297e-06	0.08116456	0.9979626	1
ENSMUSG00000000056	362.5131	0.02222629	0.06824583	0.4923317	1
ENSMUSG00000000058	93.70221	0.01750732	0.07505729	0.4203708	1
ENSMUSG00000000078	188.1649	-0.003774748	0.07430357	0.8682626	1
ENSMUSG00000000085	414.9508	0.02841005	0.0743621	0.243595	1
ENSMUSG00000000088	414.5441	-0.03050079	0.07136696	0.2989536	1
ENSMUSG00000000093	8.240932	0.003295188	0.07823905	0.6943626	1
ENSMUSG00000000094	5.8764	0.005371254	0.0792582	0.2311214	1
ENSMUSG00000000120	31.83465	0.009322343	0.07790565	0.4015634	1
ENSMUSG00000000125	20.44419	0.006029906	0.07670076	0.7071354	1
ENSMUSG00000000126	4.504459	0.002471462	0.07854764	0.6817965	1
ENSMUSG00000000127	241.9354	0.03653511	0.07165648	0.2156007	1
ENSMUSG00000000131	770.8857	-0.02502965	0.06651504	0.4609299	1
ENSMUSG00000000134	173.6207	0.01113593	0.07070464	0.7027285	1
ENSMUSG00000000142	172.6198	-0.05436489	0.07207815	0.07815543	1
ENSMUSG00000000148	159.3506	-0.03052168	0.07175563	0.2900053	1
ENSMUSG00000000149	707.6252	-0.0397222	0.07022532	0.2066634	1
ENSMUSG00000000154	2.778243	0.00204086	0.07855963	0.728465	1
ENSMUSG00000000159	2.111994	-0.006441736	0.07935465	0.1773494	1
ENSMUSG00000000167	11.88469	0.01240949	0.07797315	0.2724338	1
ENSMUSG00000000168	589.7291	0.04451386	0.06664449	0.2010978	1
ENSMUSG00000000171	375.0576	-0.0002990233	0.06865319	0.9924183	1
ENSMUSG00000000182	2.184226	-0.007855791	0.07943204	0.1317663	1
ENSMUSG00000000184	286.1731	0.05804497	0.08031486	0.004811206	0.6778563
ENSMUSG00000000194	334.2538	-0.006374069	0.06527592	0.852998	1
ENSMUSG00000000197	1507.643	0.0273662	0.06050861	0.459978	1
ENSMUSG00000000202	77.53252	-0.01336014	0.0755413	0.5073374	1
ENSMUSG00000000204	0.1724258	0.0006894314	0.08317778	0.6625122	1
ENSMUSG00000000214	73.73327	0.003847832	0.07746074	0.7639693	1
ENSMUSG00000000215	0.1383401	0.0005739975	0.08290923	0.7148978	1
ENSMUSG00000000216	2.073101	-0.001625375	0.07886451	0.6835838	1
ENSMUSG00000000223	600.9473	0.06440402	0.07223627	0.04331001	1
ENSMUSG00000000244	0.8194156	-0.000590784	0.07941568	0.8197827	1
ENSMUSG00000000247	88.62174	-0.03168649	0.07437837	0.1999918	1
ENSMUSG00000000248	0.08201642	7.674786e-05	0.08223681	0.9608191	1
ENSMUSG00000000253	268.2476	0.03056218	0.07336679	0.2470281	1
ENSMUSG00000000263	4.595673	-0.008693536	0.0788478	0.1751197	1
ENSMUSG00000000266	411.6059	0.04053493	0.07005346	0.2010213	1
ENSMUSG00000000275	57.95336	-0.01362227	0.07686701	0.3973335	1
ENSMUSG00000000276	745.2541	-0.002284314	0.06529955	0.9469909	1
ENSMUSG00000000278	67.9728	-0.04436139	0.07244382	0.1297432	1
ENSMUSG00000000282	117.1498	-0.00388008	0.07653503	0.8146689	1
ENSMUSG00000000290	34.72889	-0.02443236	0.07682604	0.1714689	1
ENSMUSG00000000295	78.22517	-0.008971446	0.07220095	0.7387924	1
ENSMUSG00000000296	102.3275	0.004732491	0.07392181	0.8411078	1
ENSMUSG00000000301	6.105228	4.458208e-05	0.07828881	0.9954864	1
ENSMUSG00000000303	2.996387	-0.004146466	0.07875936	0.4224821	1
ENSMUSG00000000305	377.8745	-0.02851691	0.06977683	0.3597035	1
ENSMUSG00000000308	844.2346	0.003621946	0.07180091	0.8949645	1
ENSMUSG00000000317	6.959609	0.01400133	0.07816458	0.1924396	1
ENSMUSG00000000318	1.271121	-0.003743436	0.07978547	0.2755458	1
ENSMUSG00000000320	4.174323	0.007289065	0.07883858	0.2207997	1
ENSMUSG00000000325	170.0177	-0.01908842	0.0715871	0.4998053	1
ENSMUSG00000000326	400.2826	0.0002609443	0.07259922	0.9920216	1
ENSMUSG00000000339	191.9653	-0.02241301	0.07304232	0.3925215	1
ENSMUSG00000000340	141.543	-0.01079145	0.07268957	0.6797843	1
ENSMUSG00000000346	424.3486	0.01799086	0.06781129	0.5812217	1
ENSMUSG00000000355	145.4322	0.01025879	0.07407454	0.6619759	1
ENSMUSG00000000359	2.437723	-0.003711613	0.07893353	0.4031629	1
ENSMUSG00000000365	11.63867	0.008163784	0.07795209	0.4455097	1
ENSMUSG00000000374	884.361	0.005427746	0.06054096	0.8825348	1
ENSMUSG00000000378	280.5299	-0.000587846	0.07384633	0.9802254	1
ENSMUSG00000000384	116.58	-0.02823582	0.07332978	0.2817294	1
ENSMUSG00000000386	1.237021	0.000848776	0.07891315	0.8152721	1
ENSMUSG00000000392	3.100807	-0.0004212372	0.0783778	0.9534111	1
ENSMUSG00000000399	477.7692	0.0169437	0.06988291	0.5775079	1
ENSMUSG00000000402	8.90814	-0.01670326	0.07898305	0.05887759	1
ENSMUSG00000000409	11.09896	0.007286162	0.07792155	0.4980013	1
